Unit,Bird_ID,Hemisphere,Track,Depth,Unit_letter,Method,Accuracy,Stimulus
W32_Rhem_1_2.50_A,W32,Rhem,1,2.5,A,rcorr,0.234222222,Male_song_3
W32_Rhem_1_2.50_A,W32,Rhem,1,2.5,A,rcorr,0.136555556,White_noise
W32_Rhem_1_2.50_B,W32,Rhem,1,2.5,B,rcorr,0.318,Female_call
W32_Rhem_1_2.50_B,W32,Rhem,1,2.5,B,rcorr,0.233444444,Male_song_1
W32_Rhem_1_2.50_B,W32,Rhem,1,2.5,B,rcorr,0.224666667,Male_song_2
W32_Rhem_1_2.50_B,W32,Rhem,1,2.5,B,rcorr,0.204444444,Male_song_3
W32_Rhem_1_2.50_B,W32,Rhem,1,2.5,B,rcorr,0.229,White_noise
W32_Rhem_1_2.55_A,W32,Rhem,1,2.55,A,rcorr,0.218111111,Female_call
W32_Rhem_1_2.55_A,W32,Rhem,1,2.55,A,rcorr,0.242777778,Male_song_1
W32_Rhem_1_2.55_A,W32,Rhem,1,2.55,A,rcorr,0.305888889,Male_song_2
W32_Rhem_1_2.55_A,W32,Rhem,1,2.55,A,rcorr,0.199777778,Male_song_3
W32_Rhem_1_2.55_A,W32,Rhem,1,2.55,A,rcorr,0.247666667,White_noise
W32_Rhem_1_2.55_B,W32,Rhem,1,2.55,B,rcorr,0.221222222,Female_call
W32_Rhem_1_2.55_B,W32,Rhem,1,2.55,B,rcorr,0.172,Male_song_1
W32_Rhem_1_2.55_B,W32,Rhem,1,2.55,B,rcorr,0.158555556,Male_song_2
W32_Rhem_1_2.55_B,W32,Rhem,1,2.55,B,rcorr,0.221444444,Male_song_3
W32_Rhem_1_2.55_B,W32,Rhem,1,2.55,B,rcorr,0.199111111,White_noise
W32_Rhem_1_2.60_A,W32,Rhem,1,2.6,A,rcorr,0.590444444,Female_call
W32_Rhem_1_2.60_A,W32,Rhem,1,2.6,A,rcorr,0.323222222,Male_song_1
W32_Rhem_1_2.60_A,W32,Rhem,1,2.6,A,rcorr,0.228444444,Male_song_2
W32_Rhem_1_2.60_A,W32,Rhem,1,2.6,A,rcorr,0.240222222,Male_song_3
W32_Rhem_1_2.60_A,W32,Rhem,1,2.6,A,rcorr,0.278,White_noise
W32_Rhem_1_2.60_B,W32,Rhem,1,2.6,B,rcorr,0.641555556,Female_call
W32_Rhem_1_2.60_B,W32,Rhem,1,2.6,B,rcorr,0.199111111,Male_song_1
W32_Rhem_1_2.60_B,W32,Rhem,1,2.6,B,rcorr,0.217333333,Male_song_2
W32_Rhem_1_2.60_B,W32,Rhem,1,2.6,B,rcorr,0.251777778,Male_song_3
W32_Rhem_1_2.60_B,W32,Rhem,1,2.6,B,rcorr,0.157333333,White_noise
W32_Rhem_1_2.65_A,W32,Rhem,1,2.65,A,rcorr,0.578333333,Female_call
W32_Rhem_1_2.65_A,W32,Rhem,1,2.65,A,rcorr,0.353111111,Male_song_1
W32_Rhem_1_2.65_A,W32,Rhem,1,2.65,A,rcorr,0.487,Male_song_2
W32_Rhem_1_2.65_A,W32,Rhem,1,2.65,A,rcorr,0.510444444,Male_song_3
W32_Rhem_1_2.65_A,W32,Rhem,1,2.65,A,rcorr,0.753,White_noise
W32_Rhem_1_2.65_B,W32,Rhem,1,2.65,B,rcorr,0.454,Female_call
W32_Rhem_1_2.65_B,W32,Rhem,1,2.65,B,rcorr,0.333666667,Male_song_1
W32_Rhem_1_2.65_B,W32,Rhem,1,2.65,B,rcorr,0.441,Male_song_2
W32_Rhem_1_2.65_B,W32,Rhem,1,2.65,B,rcorr,0.428,Male_song_3
W32_Rhem_1_2.65_B,W32,Rhem,1,2.65,B,rcorr,0.391555556,White_noise
W32_Rhem_1_2.69_A,W32,Rhem,1,2.69,A,rcorr,0.15,Female_call
W32_Rhem_1_2.69_A,W32,Rhem,1,2.69,A,rcorr,0.207555556,Male_song_1
W32_Rhem_1_2.69_A,W32,Rhem,1,2.69,A,rcorr,0.251888889,Male_song_2
W32_Rhem_1_2.69_A,W32,Rhem,1,2.69,A,rcorr,0.168888889,Male_song_3
W32_Rhem_1_2.69_A,W32,Rhem,1,2.69,A,rcorr,0.128777778,White_noise
W32_Rhem_1_2.69_B,W32,Rhem,1,2.69,B,rcorr,0.117555556,Female_call
W32_Rhem_1_2.69_B,W32,Rhem,1,2.69,B,rcorr,0.213888889,Male_song_1
W32_Rhem_1_2.69_B,W32,Rhem,1,2.69,B,rcorr,0.240777778,Male_song_2
W32_Rhem_1_2.69_B,W32,Rhem,1,2.69,B,rcorr,0.226777778,Male_song_3
W32_Rhem_1_2.69_B,W32,Rhem,1,2.69,B,rcorr,0.217666667,White_noise
W32_Rhem_1_2.73_A,W32,Rhem,1,2.73,A,rcorr,0.201888889,Female_call
W32_Rhem_1_2.73_A,W32,Rhem,1,2.73,A,rcorr,0.226777778,Male_song_1
W32_Rhem_1_2.73_A,W32,Rhem,1,2.73,A,rcorr,0.195222222,Male_song_2
W32_Rhem_1_2.73_A,W32,Rhem,1,2.73,A,rcorr,0.309333333,Male_song_3
W32_Rhem_1_2.73_A,W32,Rhem,1,2.73,A,rcorr,0.297111111,White_noise
W32_Rhem_1_2.73_B,W32,Rhem,1,2.73,B,rcorr,0.430666667,Female_call
W32_Rhem_1_2.73_B,W32,Rhem,1,2.73,B,rcorr,0.330333333,Male_song_1
W32_Rhem_1_2.73_B,W32,Rhem,1,2.73,B,rcorr,0.207444444,Male_song_2
W32_Rhem_1_2.73_B,W32,Rhem,1,2.73,B,rcorr,0.212888889,Male_song_3
W32_Rhem_1_2.73_B,W32,Rhem,1,2.73,B,rcorr,0.303111111,White_noise
W32_Rhem_1_2.85_A,W32,Rhem,1,2.85,A,rcorr,0.230111111,Female_call
W32_Rhem_1_2.85_A,W32,Rhem,1,2.85,A,rcorr,0.191888889,Male_song_1
W32_Rhem_1_2.85_A,W32,Rhem,1,2.85,A,rcorr,0.258777778,Male_song_2
W32_Rhem_1_2.85_A,W32,Rhem,1,2.85,A,rcorr,0.218888889,Male_song_3
W32_Rhem_1_2.85_A,W32,Rhem,1,2.85,A,rcorr,0.180444444,White_noise
W32_Rhem_1_2.85_B,W32,Rhem,1,2.85,B,rcorr,0.199,Female_call
W32_Rhem_1_2.85_B,W32,Rhem,1,2.85,B,rcorr,0.149111111,Male_song_1
W32_Rhem_1_2.85_B,W32,Rhem,1,2.85,B,rcorr,0.351333333,Male_song_2
W32_Rhem_1_2.85_B,W32,Rhem,1,2.85,B,rcorr,0.279888889,Male_song_3
W32_Rhem_1_2.85_B,W32,Rhem,1,2.85,B,rcorr,0.236777778,White_noise
W32_Rhem_1_2.88_A,W32,Rhem,1,2.88,A,rcorr,0.190111111,Female_call
W32_Rhem_1_2.88_A,W32,Rhem,1,2.88,A,rcorr,0.241555556,Male_song_1
W32_Rhem_1_2.88_A,W32,Rhem,1,2.88,A,rcorr,0.287222222,Male_song_2
W32_Rhem_1_2.88_A,W32,Rhem,1,2.88,A,rcorr,0.295,Male_song_3
W32_Rhem_1_2.88_A,W32,Rhem,1,2.88,A,rcorr,0.258777778,White_noise
W32_Rhem_1_2.88_B,W32,Rhem,1,2.88,B,rcorr,0.254555556,Female_call
W32_Rhem_1_2.88_B,W32,Rhem,1,2.88,B,rcorr,0.250222222,Male_song_1
W32_Rhem_1_2.88_B,W32,Rhem,1,2.88,B,rcorr,0.270333333,Male_song_2
W32_Rhem_1_2.88_B,W32,Rhem,1,2.88,B,rcorr,0.192333333,Male_song_3
W32_Rhem_1_2.88_B,W32,Rhem,1,2.88,B,rcorr,0.226222222,White_noise
W32_Rhem_1_2.88_C,W32,Rhem,1,2.88,C,rcorr,0.178222222,Female_call
W32_Rhem_1_2.88_C,W32,Rhem,1,2.88,C,rcorr,0.274444444,Male_song_1
W32_Rhem_1_2.88_C,W32,Rhem,1,2.88,C,rcorr,0.302222222,Male_song_2
W32_Rhem_1_2.88_C,W32,Rhem,1,2.88,C,rcorr,0.154777778,Male_song_3
W32_Rhem_1_2.88_C,W32,Rhem,1,2.88,C,rcorr,0.187111111,White_noise
W32_Rhem_1_2.95_A,W32,Rhem,1,2.95,A,rcorr,0.346111111,Female_call
W32_Rhem_1_2.95_A,W32,Rhem,1,2.95,A,rcorr,0.262888889,Male_song_1
W32_Rhem_1_2.95_A,W32,Rhem,1,2.95,A,rcorr,0.189666667,Male_song_2
W32_Rhem_1_2.95_A,W32,Rhem,1,2.95,A,rcorr,0.194,Male_song_3
W32_Rhem_1_2.95_A,W32,Rhem,1,2.95,A,rcorr,0.274222222,White_noise
