Unit_ID,Bird_ID,Hemisphere,Trial,Unit_letter,Stimulus,p.value
R37-R3_Lhem_T2TRIAL2.55_B,R37-R3,Lhem,T2TRIAL2.55,B,Male_song_2,0.122215804
R37-R3_Lhem_T2TRIAL2.65_A,R37-R3,Lhem,T2TRIAL2.65,A,Male_song_2,0.06619258
R37-R3_Lhem_T2TRIAL2.65_B,R37-R3,Lhem,T2TRIAL2.65,B,Male_song_2,0.005761163
R37-R3_Lhem_T2TRIAL2.70_A,R37-R3,Lhem,T2TRIAL2.70,A,Male_song_2,0.024744672
R37-R3_Lhem_T2TRIAL2.70_B,R37-R3,Lhem,T2TRIAL2.70,B,Male_song_2,0.005761163
R37-R3_Lhem_T2TRIAL2.75_A,R37-R3,Lhem,T2TRIAL2.75,A,Male_song_2,0.007841672
R37-R3_Lhem_T2TRIAL2.75_B,R37-R3,Lhem,T2TRIAL2.75,B,Male_song_2,0.00800431
R37-R3_Lhem_T2TRIAL2.80_A,R37-R3,Lhem,T2TRIAL2.80,A,Male_song_2,0.082731022
R37-R3_Lhem_T2TRIAL2.80_B,R37-R3,Lhem,T2TRIAL2.80,B,Male_song_2,0.009029911
R37-R3_Lhem_T2TRIAL2.90_A,R37-R3,Lhem,T2TRIAL2.90,A,Male_song_2,0.005825024
R37-R3_Lhem_T2TRIAL2.90_B,R37-R3,Lhem,T2TRIAL2.90,B,Male_song_2,0.0193195
R37-R3_Lhem_T2TRIAL3.00_A,R37-R3,Lhem,T2TRIAL3.00,A,Male_song_2,0.005729376
R37-R3_Lhem_T2TRIAL3.00_B,R37-R3,Lhem,T2TRIAL3.00,B,Male_song_2,0.281628842
R37-R3_Lhem_T2TRIAL3.10_A,R37-R3,Lhem,T2TRIAL3.10,A,Male_song_2,0.083984375
R37-R3_Lhem_T2TRIAL3.10_B,R37-R3,Lhem,T2TRIAL3.10,B,Male_song_2,0.082931082
W32_Rhem_T1TRIAL2.40_A,W32,Rhem,T1TRIAL2.40,A,Male_song_2,0.028314055
W32_Rhem_T1TRIAL2.40_B,W32,Rhem,T1TRIAL2.40,B,Male_song_2,0.07427355
W32_Rhem_T1TRIAL2.45_A,W32,Rhem,T1TRIAL2.45,A,Male_song_2,0.005859375
W32_Rhem_T1TRIAL2.45_B,W32,Rhem,T1TRIAL2.45,B,Male_song_2,0.005859375
W32_Rhem_T1TRIAL2.50_A,W32,Rhem,T1TRIAL2.50,A,Male_song_2,0.036535984
W32_Rhem_T1TRIAL2.50_B,W32,Rhem,T1TRIAL2.50,B,Male_song_2,0.05802402
W32_Rhem_T1TRIAL2.55_A,W32,Rhem,T1TRIAL2.55,A,Male_song_2,0.722049142
W32_Rhem_T1TRIAL2.55_B,W32,Rhem,T1TRIAL2.55,B,Male_song_2,0.332565615
W32_Rhem_T1TRIAL2.60_A,W32,Rhem,T1TRIAL2.60,A,Male_song_2,0.005603194
W32_Rhem_T1TRIAL2.60_B,W32,Rhem,T1TRIAL2.60,B,Male_song_2,0.005857099
W32_Rhem_T1TRIAL2.65_A,W32,Rhem,T1TRIAL2.65,A,Male_song_2,0.014369289
W32_Rhem_T1TRIAL2.65_B,W32,Rhem,T1TRIAL2.65,B,Male_song_2,0.00390625
W32_Rhem_T1TRIAL2.69_A,W32,Rhem,T1TRIAL2.69,A,Male_song_2,0.153309224
W32_Rhem_T1TRIAL2.69_B,W32,Rhem,T1TRIAL2.69,B,Male_song_2,0.431640625
W32_Rhem_T1TRIAL2.73_A,W32,Rhem,T1TRIAL2.73,A,Male_song_2,0.00588927
W32_Rhem_T1TRIAL2.73_B,W32,Rhem,T1TRIAL2.73,B,Male_song_2,0.005761163
W32_Rhem_T1TRIAL2.85_A,W32,Rhem,T1TRIAL2.85,A,Male_song_2,0.275390625
W32_Rhem_T1TRIAL2.85_B,W32,Rhem,T1TRIAL2.85,B,Male_song_2,0.413607443
W32_Rhem_T1TRIAL2.88_A,W32,Rhem,T1TRIAL2.88,A,Male_song_2,0.01285124
W32_Rhem_T1TRIAL2.88_B,W32,Rhem,T1TRIAL2.88,B,Male_song_2,0.123204911
W32_Rhem_T1TRIAL2.88_C,W32,Rhem,T1TRIAL2.88,C,Male_song_2,0.183714066
W32_Rhem_T1TRIAL2.95_A,W32,Rhem,T1TRIAL2.95,A,Male_song_2,0.83783949
W32_Rhem_T1TRIAL2.95_B,W32,Rhem,T1TRIAL2.95,B,Male_song_2,0.574564824
W32_Rhem_T1TRIAL2.95_C,W32,Rhem,T1TRIAL2.95,C,Male_song_2,0.574564824
W32_Rhem_T1TRIAL3.00_A,W32,Rhem,T1TRIAL3.00,A,Male_song_2,0.0524795
W32_Rhem_T1TRIAL3.00_B,W32,Rhem,T1TRIAL3.00,B,Male_song_2,0.184858254
W32_Rhem_T1TRIAL3.05_A,W32,Rhem,T1TRIAL3.05,A,Male_song_2,0.798603246
W32_Rhem_T1TRIAL3.05_B,W32,Rhem,T1TRIAL3.05,B,Male_song_2,1
W32_Rhem_T1TRIAL3.05_C,W32,Rhem,T1TRIAL3.05,C,Male_song_2,0.34282884
Bl86-R20_Lhem_T2TRIAL3.90_A,Bl86-R20,Lhem,T2TRIAL3.90,A,Male_song_3,1
Bl86-R20_Lhem_T2TRIAL3.90_B,Bl86-R20,Lhem,T2TRIAL3.90,B,Male_song_3,0.151128537
Bl86-R20_Lhem_T2TRIAL3.90_C,Bl86-R20,Lhem,T2TRIAL3.90,C,Male_song_3,0.031641777
Bl86-R20_Lhem_T2TRIAL4.00_A,Bl86-R20,Lhem,T2TRIAL4.00,A,Male_song_3,0.959300789
Bl86-R20_Lhem_T2TRIAL4.00_B,Bl86-R20,Lhem,T2TRIAL4.00,B,Male_song_3,0.812380364
Bl86-R20_Lhem_T2TRIAL4.00_C,Bl86-R20,Lhem,T2TRIAL4.00,C,Male_song_3,1
R37-R3_Lhem_T2TRIAL2.45_A,R37-R3,Lhem,T2TRIAL2.45,A,Male_song_3,0.324006556
R37-R3_Lhem_T2TRIAL2.45_B,R37-R3,Lhem,T2TRIAL2.45,B,Male_song_3,0.752493649
R37-R3_Lhem_T2TRIAL2.45_C,R37-R3,Lhem,T2TRIAL2.45,C,Male_song_3,0.526578371
R37-R3_Lhem_T2TRIAL2.55_A,R37-R3,Lhem,T2TRIAL2.55,A,Male_song_3,0.440465089
R37-R3_Lhem_T2TRIAL2.55_B,R37-R3,Lhem,T2TRIAL2.55,B,Male_song_3,0.096614208
R37-R3_Lhem_T2TRIAL2.65_A,R37-R3,Lhem,T2TRIAL2.65,A,Male_song_3,0.056705723
R37-R3_Lhem_T2TRIAL2.65_B,R37-R3,Lhem,T2TRIAL2.65,B,Male_song_3,0.066369129
R37-R3_Lhem_T2TRIAL2.70_A,R37-R3,Lhem,T2TRIAL2.70,A,Male_song_3,0.03714019
R37-R3_Lhem_T2TRIAL2.70_B,R37-R3,Lhem,T2TRIAL2.70,B,Male_song_3,0.037982635
R37-R3_Lhem_T2TRIAL2.75_A,R37-R3,Lhem,T2TRIAL2.75,A,Male_song_3,0.013793701
R37-R3_Lhem_T2TRIAL2.75_B,R37-R3,Lhem,T2TRIAL2.75,B,Male_song_3,0.00588927
R37-R3_Lhem_T2TRIAL2.80_A,R37-R3,Lhem,T2TRIAL2.80,A,Male_song_3,0.152238865
R37-R3_Lhem_T2TRIAL2.80_B,R37-R3,Lhem,T2TRIAL2.80,B,Male_song_3,0.017717165
R37-R3_Lhem_T2TRIAL2.90_A,R37-R3,Lhem,T2TRIAL2.90,A,Male_song_3,0.01741848
R37-R3_Lhem_T2TRIAL2.90_B,R37-R3,Lhem,T2TRIAL2.90,B,Male_song_3,0.005634595
R37-R3_Lhem_T2TRIAL3.00_A,R37-R3,Lhem,T2TRIAL3.00,A,Male_song_3,0.008729039
R37-R3_Lhem_T2TRIAL3.00_B,R37-R3,Lhem,T2TRIAL3.00,B,Male_song_3,0.855132141
R37-R3_Lhem_T2TRIAL3.10_A,R37-R3,Lhem,T2TRIAL3.10,A,Male_song_3,0.01285124
R37-R3_Lhem_T2TRIAL3.10_B,R37-R3,Lhem,T2TRIAL3.10,B,Male_song_3,0.28589756
